City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
240,narsaq,20.0,GL,1621178034.0,14.0,60.9167,-46.05,50.0,6.91
241,vitoria,75.0,BR,1621178040.0,69.0,-20.3194,-40.3378,77.0,4.61
242,santarem,40.0,BR,1621177981.0,78.0,-2.4431,-54.7083,82.4,9.22
243,cockburn town,12.0,TC,1621177899.0,76.0,21.4612,-71.1419,79.72,10.29
244,mocuba,3.0,MZ,1621178055.0,63.0,-16.8392,36.9856,75.83,3.67
245,zhangye,100.0,CN,1621178060.0,37.0,38.9342,100.4517,59.72,7.0
246,berlevag,75.0,NO,1621178066.0,93.0,70.8578,29.0864,34.68,11.5
247,rajsamand,98.0,IN,1621178071.0,41.0,25.0667,73.8833,86.52,6.62
248,namatanai,100.0,PG,1621178076.0,80.0,-3.6667,152.4333,79.61,8.9
249,hirara,95.0,JP,1621178081.0,91.0,24.8,125.2833,79.74,16.73
250,monrovia,75.0,LR,1621178034.0,79.0,6.3005,-10.7969,86.0,9.22
251,lavrentiya,37.0,RU,1621178092.0,87.0,65.5833,-171.0,25.79,6.22
252,mansalay,67.0,PH,1621178097.0,80.0,12.5167,121.4,79.39,8.14
253,ardahan,76.0,TR,1621178102.0,67.0,41.1087,42.7022,59.68,4.99
254,ongole,53.0,IN,1621178109.0,76.0,15.5,80.05,86.47,16.49
255,hami,100.0,CN,1621178114.0,19.0,42.8,93.45,74.35,9.1
256,punuare,75.0,HN,1621178120.0,48.0,14.7333,-85.9667,86.0,4.38
257,aklavik,75.0,CA,1621178125.0,93.0,68.2191,-135.0107,32.0,5.75
258,torit,32.0,SS,1621178130.0,64.0,4.4133,32.5678,83.82,3.53
259,hamilton,90.0,US,1621178139.0,52.0,39.1834,-84.5333,64.38,6.91
260,jalu,4.0,LY,1621178145.0,12.0,29.0331,21.5482,88.86,16.82
261,atar,72.0,MR,1621178151.0,9.0,20.5169,-13.0499,101.79,5.82
262,padang,75.0,ID,1621178156.0,100.0,-0.9492,100.3543,75.2,5.75
263,dongkan,100.0,CN,1621178161.0,68.0,33.9997,119.8308,55.92,8.52
264,te anau,86.0,NZ,1621178167.0,88.0,-45.4167,167.7167,40.87,4.27
265,jining,100.0,CN,1621178172.0,57.0,35.405,116.5814,57.6,6.04
266,kitimat,100.0,CA,1621178118.0,96.0,54.0524,-128.6534,50.0,1.99
267,luena,0.0,AO,1621178182.0,34.0,-11.7833,19.9167,82.4,3.8
268,ravar,64.0,IR,1621178187.0,12.0,31.2656,56.8055,81.77,11.97
269,fairbanks,90.0,US,1621178105.0,87.0,64.8378,-147.7164,43.57,4.61
270,turmalina,98.0,BR,1621178198.0,45.0,-17.2856,-42.73,78.44,2.86
271,upernavik,100.0,GL,1621178208.0,93.0,72.7868,-56.1549,32.09,9.31
272,tuy hoa,24.0,VN,1621178213.0,89.0,13.0833,109.3,81.09,2.26
273,mirador,97.0,BR,1621178219.0,51.0,-6.3708,-44.3631,86.88,8.08
274,coahuayana,1.0,MX,1621178224.0,65.0,18.7333,-103.6833,80.6,2.1
275,arman,100.0,RU,1621178229.0,86.0,59.7,150.1667,35.35,21.74
276,bathurst,2.0,AU,1621178234.0,91.0,-33.4166,149.5806,30.99,3.74
277,goderich,94.0,CA,1621178240.0,58.0,43.7501,-81.7165,55.4,6.91
278,grand gaube,16.0,MU,1621178245.0,70.0,-20.0064,57.6608,78.01,8.01
279,xingyi,57.0,CN,1621178250.0,47.0,24.1877,102.81700000000001,69.75,3.29
280,poum,36.0,NC,1621178255.0,76.0,-20.2333,164.0167,76.8,19.33
281,kilimatinde,58.0,TZ,1621178261.0,45.0,-5.85,34.95,79.0,3.87
282,garza garcia,90.0,MX,1621178266.0,83.0,25.6667,-100.4,69.71,3.76
283,mubi,100.0,NG,1621178271.0,31.0,10.2676,13.2644,93.34,6.08
284,pueblo,1.0,US,1621178223.0,72.0,38.2545,-104.6091,60.26,4.61
285,bekhtery,75.0,UA,1621178282.0,77.0,46.251000000000005,32.2927,66.2,11.18
286,medea,0.0,DZ,1621178287.0,32.0,36.2642,2.7539,82.4,5.75
287,yellowknife,75.0,CA,1621178292.0,74.0,62.456,-114.3525,28.87,10.36
288,divnomorskoye,23.0,RU,1621178297.0,75.0,44.5011,38.1353,75.24,2.95
289,maun,0.0,BW,1621178303.0,23.0,-19.9833,23.4167,84.2,4.61
290,ossora,100.0,RU,1621178308.0,94.0,59.2353,163.0719,31.1,4.74
291,cidreira,50.0,BR,1621178313.0,69.0,-30.1811,-50.2056,67.1,2.24
292,dikson,100.0,RU,1621178318.0,76.0,73.5069,80.5464,26.29,14.14
293,loukhi,100.0,RU,1621178324.0,81.0,66.0764,33.0381,45.5,3.94
294,lucapa,28.0,AO,1621178329.0,41.0,-8.4192,20.7447,84.6,3.87
295,pirapemas,92.0,BR,1621178334.0,58.0,-3.7267,-44.2233,86.72,4.79
296,ahuimanu,90.0,US,1621178339.0,73.0,21.4447,-157.8378,71.56,12.66
297,samarai,99.0,PG,1621178345.0,82.0,-10.6167,150.6667,80.96,7.05
298,opotiki,100.0,NZ,1621178350.0,99.0,-38.0833,177.2833,55.0,4.38
299,paraiso,0.0,CR,1621178360.0,68.0,9.8383,-83.8656,70.7,4.52
300,bathsheba,75.0,BB,1621178366.0,54.0,13.2167,-59.5167,86.0,21.85
301,santa ana,90.0,US,1621178371.0,82.0,33.7456,-117.8678,57.54,5.75
302,seymchan,100.0,RU,1621178376.0,88.0,62.8833,152.4333,34.47,4.21
303,at-bashi,6.0,KG,1621178381.0,35.0,41.1702,75.8106,48.88,2.71
304,yurimaguas,40.0,PE,1621178387.0,89.0,-5.9,-76.0833,78.8,1.01
305,reconquista,17.0,AR,1621178392.0,58.0,-29.15,-59.65,71.01,2.59
306,litovko,0.0,RU,1621178397.0,69.0,49.2361,135.1742,50.58,6.6
307,sur,26.0,OM,1621178403.0,54.0,22.5667,59.5289,87.71,3.27
308,hofn,75.0,IS,1621178414.0,45.0,64.2539,-15.2082,42.8,25.32
309,ahipara,56.0,NZ,1621178419.0,93.0,-35.1667,173.1667,60.17,6.44
310,moerai,99.0,PF,1621178424.0,76.0,-22.4333,-151.3333,76.86,14.5
311,port augusta,40.0,AU,1621178429.0,93.0,-32.5,137.7667,42.94,6.91
312,umm lajj,0.0,SA,1621178435.0,53.0,25.0213,37.2685,84.58,6.24
313,zhicheng,100.0,CN,1621178440.0,90.0,30.2956,111.5047,61.0,2.71
314,qui nhon,20.0,VN,1621178445.0,88.0,13.7667,109.2333,82.26,1.45
